id,name,address,postalcode,lat,lng
102,Merlion Park@Fullerton,1 Fullerton Road S(049178),Singapore (049178),1.2858792,103.8540316
103,One Fullerton,1 Fullerton Square S(049178),Singapore (049178),1.2858792,103.8540316
104,Sentosa Beach Station,33 Allanbroke Road Sentosa S(099981),Singapore (099981),1.2512979,103.8178132
105,Sentosa Imbiah Lookout,Imbiah Lookout Sentosa S(099538),Singapore (099538),1.2552278,103.8175128
106,Sentosa Imbiah Station,Imbiah Express Station Sentosa S(099981),Singapore (099981),1.2539153,103.8194525
107,Sentosa Palawan Beach (East),Palawan Beach Walk S(098521),Singapore (098521),1.249673,103.82188
108,Sentosa Palawan Beach (West),Palawan Beach Walk S(098038),Singapore (098038),1.248949,103.822374
109,Sentosa Palawan Kidz City,31 Beach View Palawan Kidz City S(098008),Singapore (098008),1.2510787,103.8202912
110,Sentosa Silosa Beach (East),Siloso Beach Walk S(098997),Singapore (098997),1.2514,103.82
111,Sentosa Wings of Time,"50 Beach View, 098604",Singapore (099538),1.2512979,103.8178132
112,The Fullerton Water Boat House,1 Fullerton Road S(049213),Singapore (049213),1.2858792,103.8540316
113,Compassvale Bus Interchange,51A Compassvale Road S(544760),Singapore (544760),1.391519285,103.8973108
114,Hougang Bus Interchanage,840 Hougang Central S(53877),Singapore ((53877),1.370795,103.8919716
115,Sengkang Bus Interchange,13 Sengkang Square S(545077),Singapore (545077),1.391025341,103.8959565
116,Tampines Bus Interchange,512 Tampines Central 1 S(520512),Singapore (520512),1.3536,103.943
117,Tampines Concourse Bus Interchange,11 Tampines Concourse S(529543),Singapore (529543),1.3571,103.941
118,Safra Punggol,9 Sentul Crescent S(828654),Singapore (828654),1.4092217,103.9022787
119,21 Street Eating House,Blk 201 Tampines Street 21 # 01-201 S(520201),Singapore (520201),1.352943,103.953569
120,CCMW Hougang Avenue 8,Blk 631 Hougang Avenue 8 #01-06 S(530631),Singapore (530631),1.37056,103.88141
121,CCMW Tampines Ave 4,Blk 802 Tampines Ave 4 #01-77 S(520802),Singapore (520802),1.3457892,103.9384383
